variable,type,n,mean,std,median,iqr,min,max,p5,p95,circular_mean_deg,circular_std_deg,resultant_length,period_deg
lcx_signed_angular_extent_deg,linear,191,14.866356299615733,63.211625501234295,27.13942997862759,76.43401175778521,-147.71720370655441,114.79586124828046,-109.05856597007974,97.54266327108317,,,,
lcx_angular_extent_deg,linear,191,54.120749822741935,35.68486664890864,49.53916927821175,59.405762077947614,0.7863857161661925,147.71720370655441,5.118148272784742,113.2917515571603,,,,
lad_signed_angular_extent_deg,linear,191,10.367867390120475,118.96869894721617,-30.809332980424372,172.63333015742745,-246.32529360804637,255.45430364201977,-193.92383734157363,218.4850347233888,,,,
lad_angular_extent_deg,linear,191,95.36775770286181,71.54531483986337,48.24653257628193,121.33369048609116,17.633998478280304,255.45430364201977,26.91630879981569,222.10025406361953,,,,
crown_fit_rmse,linear,191,10.437192096210692,4.292953169538437,10.383549906123209,6.835705353620836,1.1711126918735237,23.401172210106598,3.6013516042123035,17.135341769631808,,,,
crown_fit_max_error,linear,191,25.9539888341337,9.601251962031938,26.62950476479168,15.258163669431688,2.7222660839175967,50.99547917198438,10.874778681602963,39.64212551674977,,,,
lad_fit_rmse,linear,191,2.9686183114508173,1.7469958399475276,2.688394889567855,2.4443824572009203,0.176903000950824,9.175526766295453,0.5612706115629496,6.299883667853232,,,,
lad_fit_max_error,linear,191,7.422177629972439,4.882868947288243,6.486741302569162,5.88772615430403,0.3180519039734016,24.52650223556381,1.5734280642506633,16.999824114428225,,,,
lcx_residual_mean,linear,191,9.740951726374858,5.428586720846812,8.850442906235903,7.799981170822343,1.0744282254631854,31.32691697866093,2.8338045670809775,20.013988872751135,,,,
lcx_residual_std,linear,191,5.076543736784026,2.698934882818884,4.6859073656344465,4.26063722516521,0.46737659546964744,11.58598208857445,1.3444431044501286,9.897040878712282,,,,
lcx_residual_rmse,linear,191,11.016447583475031,5.9873581167567345,10.105267771491341,8.720011111672733,1.1711126918735237,31.489524770294583,3.1552235779646463,22.328862658125004,,,,
lcx_residual_p95,linear,191,18.592554299408945,9.479962472728609,16.7676235061945,14.442357551320617,1.8335556287686148,40.15007883141445,5.302309637498569,35.229819439267246,,,,
lad_residual_mean,linear,191,2.5253108238684256,1.467299018492664,2.2648081579935764,2.031894692705001,0.15722583319119543,8.053138380595101,0.4609752248716711,5.198355691453401,,,,
lad_residual_std,linear,191,1.532375165551456,0.9997802281210396,1.323486733409935,1.306621606937613,0.08290693298760793,5.080460550010226,0.2987360911425818,3.4820032046663494,,,,
lad_residual_rmse,linear,191,2.9686183114508173,1.7469958399475276,2.688394889567855,2.4443824572009203,0.176903000950824,9.175526766295453,0.5612706115629496,6.299883667853232,,,,
lad_residual_p95,linear,191,5.313795560099393,3.2888138674387335,4.860732807550177,4.391240563490387,0.27466986672365223,16.71223812466445,0.8873316970337424,11.719115163110846,,,,
coronary_plane_rmse,linear,191,9.639363852740827,4.216346105951326,9.715894126363702,6.2985911619797665,0.6902083319987331,22.169719105064694,2.6732352198125477,16.33527283316851,,,,
lad_plane_rmse,linear,191,2.492284387881008,1.6695855236771016,2.232213121538922,2.3550360620081756,0.10982967920992123,8.906612979301904,0.34290182822122006,5.677041211887729,,,,
lad_pointwise_in_plane_residual_mm,pooled_pointwise_linear,45985,0.9827381620184106,1.2040892116163429,0.6493201672289124,0.9987376192804551,6.433317654723597e-06,24.153465934386464,0.049480081419581275,2.9921999609249523,,,,
lad_pointwise_out_of_plane_residual_mm,pooled_pointwise_linear,45985,-3.745472635603964e-16,3.4985918984670956,0.014089069370822042,3.4931839402784437,-20.25916919092472,20.974657225855292,-5.805236653452141,5.671434900925948,,,,
lad_pointwise_euclidean_residual_mm,pooled_pointwise_linear,45985,2.9919822681749153,2.522331031865179,2.282256977843627,2.8073771573580615,0.005826572359818425,24.52650223556381,0.4121562820017201,7.95081529298915,,,,
lcx_pointwise_in_plane_residual_mm,pooled_pointwise_linear,31352,2.5145502077727913,2.4378154109748933,1.8389132327574371,2.679594588096736,0.00012255472125448954,21.20096969303649,0.14638743505225676,7.08951450786375,,,,
lcx_pointwise_out_of_plane_residual_mm,pooled_pointwise_linear,31352,0.3264314073760432,12.971245344379223,0.7311100341262484,15.001412227262392,-43.95623778710475,39.096124576654084,-22.543647872444723,22.447561504315175,,,,
lcx_pointwise_euclidean_residual_mm,pooled_pointwise_linear,31352,10.657541766495823,8.286141336232973,8.222939471347036,10.823966526294466,0.03965559649337002,44.29029675160371,1.4035485208127085,27.820302622617614,,,,
